"AffiliationID","AffiliationName","Type"
"7c71a8bd-6437-4d1f-b78f-3a578e5490f4","Ruiz LLC","Company"
"bea002b5-6f34-4ab7-a8e7-9159a1e54ba7","Ray LLC","Company"
"c24cf64d-be10-43ed-b852-23dd61181874","Campbell, Moore and Schmidt","Company"
"897d4a45-29ae-4e9b-b4fe-c5fbc4711cb1","Reeves, Riley and Harris","Company"
"e1dfc587-4998-4700-9b14-8743e75663af","King, Warner and Wilson","Company"
"3d0e08f8-5001-4f53-856a-e44796000e13","Garcia, Alexander and Davis","Company"
"043cd52c-4bd7-4eed-8d95-37ff3e2c2460","Hendricks, Baker and Bowen","Company"
"47f92368-a84a-43ee-a7fc-e3245d46dcc5","Adams Inc","Company"
"29e4ae70-5ebd-40e3-bd82-8f3def54790f","Davis, Contreras and Bartlett","Company"
"8147d371-e3b8-4ea9-9706-781afde3fec5","Strickland, Campos and Johnson","Company"
"9ac46188-dd80-4c1c-b2ac-e80ea2845a30","Garcia-Pennington","Company"
"8e67980c-a7ff-45f6-8997-ce5e9fe50cd8","Huber and Sons","Company"
"1651076b-b799-4431-a16c-0ae74dc3450b","Snyder-Dawson","Company"
"5df4feda-fd7d-4d74-9760-5c2599dce2aa","Wolf Ltd","Company"
"33f941ed-52fc-4448-95db-4105f9e60f96","Andrews, Ross and Black","Company"
"0b56301e-f8ab-496c-b4ee-8246b9465136","Mitchell, Hartman and Moody","Company"
"5c8e8c89-14fc-447c-8b4f-661548444c1d","Armstrong-Luna","Company"
"64b55053-56ea-48a5-8910-d96cc998820a","Reed, Hill and Lane","Company"
"ce619c62-1436-441c-8a7f-eee4ef233242","French-Collins","Company"
"08f127d2-ca3d-44e8-8329-8b004c29562e","Cordova LLC","Company"
"68f62c75-959a-4ba1-82e6-8d048b44183d","Wilson Ltd","Company"
"03819927-2544-4a72-bb7d-cd5bdd104f72","Harding and Sons","Company"
"a94caee9-1ee8-4741-806e-6a28cf53dd69","Johnston-Juarez","Company"
"16d46d67-d81a-4510-93ed-333b88f7c667","Haynes, Riley and Anderson","Company"
"e12def66-97ea-4ab3-a467-b76e69205e33","Peterson Ltd","Company"
"25920a0d-fe7b-4598-bc27-a112d8aab018","Melton, Cherry and Wilson","Company"
"c64ee62e-3bb8-4718-a96b-3258fc7672b0","Sanders-Ellis","Company"
"ddbee275-814a-42cd-929f-4dbd8d6dd9c5","Morales, Simmons and Thomas","Company"
"3e7dfbf3-f48b-4e6c-b965-f107c29f5e7c","Peterson, Olsen and Arias","Company"
"4bfbd272-1890-49fc-bc1c-cb647ae1f302","Villa-Bailey","Company"
"001f1b85-648b-433d-babc-a99c25b778d6","Walker-Short","Company"
"f648d409-fe6d-417d-aef8-39fe7e868565","Dixon, Moses and Lewis","Company"
"fd044aaf-72d9-41ca-bb78-8098dd867162","Jackson-Evans","Company"
"93ea85b1-49bb-44db-bbcb-f73e7bd0997c","Rodgers LLC","Company"
"5c67b9e9-138f-426f-9446-187bb8919ce9","Lopez-Hamilton","Company"
"1842318f-28f5-428d-99b3-84aa330813bc","Hill, Clark and Munoz","Company"
"1989ef30-d21c-4454-b731-9e0e4d7396ee","House, Macdonald and Jones","Company"
"2e7ddfb1-2572-4733-a21d-a3ceee4bf9d2","Clark, Smith and Hale","Company"
"835b465b-f091-4440-a508-4e419c08823d","Perez-Grimes","Company"
"9b8b5773-25fb-4d9f-9ca5-c5b85e40b48e","Morrison, Ewing and Anderson","Company"
"75911b76-aee2-4ffd-909c-bed3117542bc","Clayton LLC","Company"
"e4f27eab-a3e2-4958-9e9a-85075d5633cc","Flores Group","Company"
"b6bf9f2d-f62f-4483-b3b5-c7eb604ee189","Sharp, Lawson and Page","Company"
"84248959-e328-466b-94fc-e64a88abd08d","Moon, Caldwell and Wright","Company"
"347638b8-fc71-4c8e-bdf1-b849237f1a29","Kirby-Morris","Company"
"63317bf2-4ca6-4a52-aea3-03d3308e2f54","Martinez LLC","Company"
"91f251dd-04b0-4d65-a0ec-c914426218de","Lewis, Jones and Thomas","Company"
"6e01848e-e403-41c8-885a-feb079273b6c","Porter, Atkinson and Bell","Company"
"dbeeb56f-8c3b-4fbc-9a8c-c9344bebe882","Lewis Inc","Company"
"5428fc36-fad4-44fa-9382-86fc74eaa484","Gonzales, Nelson and Martinez","Company"
"873ec24f-5d65-4f39-aa9f-2b57cef9bccf","Tyler, Snyder and Moore","Company"
"ed1a741d-49a3-4e0f-af01-10a1bac5bfae","Murray Ltd","Company"
"71869d10-37e4-4cae-8b12-b7ce2df73ae9","Vasquez and Sons","Company"
"5585edae-f193-464d-b120-93d2adaa5b17","Collins LLC","Company"
"c75a79cc-c32d-40d7-86e3-f5a184c2aa46","Evans-Myers","Company"
"e74a2197-1514-4ffa-a00d-6907bd9cdcf9","Flores-Benson","Company"
"3eff609d-a6d7-43a9-b543-27c3e9714a5d","Mitchell-Anthony","Company"
"a8cb0abd-bdc8-4353-a078-6de6847d4f4b","Smith, Frank and Garner","Company"
"ceb84cd9-98ea-42fa-b884-9eca6fe38f17","Sherman Ltd","Company"
"e732e663-ec29-4890-8154-4a78d6317bc4","Phillips LLC","Company"
"db3f7a98-fa0d-46a4-92c2-02bbbba1cd9b","Romero, Brock and Ibarra","Company"
"f57cd00c-5a36-4de7-bdb9-99844eb855c7","Francis-Jacobs","Company"
"19feea36-3840-4a66-b95f-d939635c4345","Campbell, Smith and Brown","Company"
"904ad6c9-e3f9-4694-a652-a07e5ac3abf5","Callahan Group","Company"
"84686cc2-f99c-435a-b9a9-926cea8dce4d","Jones, Reyes and Thompson","Company"
"c77e30ad-1d50-4a61-b85c-e79c7753ba9b","Thompson Ltd","Company"
"384dee8b-107f-4017-99c4-7159f8ecf25c","Barber-Clark","Company"
"4242d11b-2eb2-4e1e-8757-83db9a7fb3c8","Li Group","Company"
"cf86782d-f2a6-4cc3-bd78-6baa173429d4","Foster, Dunlap and Molina","Company"
"0cc1f438-d62c-461b-aa8e-b5925903d353","Scott, Anderson and Carlson","Company"
"f5f283ae-0ddb-4acd-97d6-a4a290f0f545","Lee-Clements","Company"
"9d572bce-690b-44b2-869e-ffc52f7f74fd","Martinez PLC","Company"
"2f8bd9ea-12e9-45b4-9e26-807a57ad5238","Castaneda Ltd","Company"
"4e67da82-4fbc-4f26-8152-35f9a38a89b0","Melendez Ltd","Company"
"eaee3fd1-7ec5-497f-be13-b8b2cf9de685","Palmer-Richardson","Company"
"7fb3d7e6-9b43-4d2e-b695-c05a11db0e45","Howard and Sons","Company"
"0aff5df5-39f6-4786-b949-4973b0e101a2","Davis and Sons","Company"
"c9bb8790-b436-4579-99ca-62ff019aa056","Klein Ltd","Company"
"645c542b-eb32-4c3f-b840-8f319ac85672","Richardson, Leon and Bishop","Company"
"fb9ee2f8-851f-419e-9311-4f3601e57843","Huynh, Evans and Jordan","Company"
"7039cc69-17b9-4794-990e-2f553a2bc6d2","Curry Ltd","Company"
"8cc5d98f-8ea1-4880-9574-6981960186c3","Evans-Moran","Company"
"ab78328f-13fd-49db-bcff-51546e0c4f82","Herrera-Hicks","Company"
"aea4fd08-aa43-4636-b9eb-5f910924d39d","Robinson Inc","Company"
"20a9bea1-f006-4811-b9d7-2253a8a2823e","Meyer, Torres and Hess","Company"
"4901e50d-9705-4079-86d2-2e5e831d5835","Morrison, Wilson and Hunt","Company"
"dc1c1f08-a693-41f7-aa6e-9b5982c639ca","Farley PLC","Company"
"5358b0e0-7f0e-43ea-b3a4-22c2e47f4d22","Fowler-Curtis","Company"
"01379b4f-60e8-401a-9417-df60b460e59f","Figueroa-Martin","Company"
"0167e97e-7669-4648-8846-595c0c6ccd8e","Sawyer-Jacobs","Company"
"4dc9110d-ec79-4971-80ec-9dc2edf7ce8b","Roth LLC","Company"
"60e3e97a-79fb-4bd3-a28f-bc43ee3b550f","Morales LLC","Company"
"75e1d9b3-d7e8-4d29-a173-81389e98b168","Morgan-Cross","Company"
"194a8be7-914c-4af4-9067-9c5e869a5f11","Mitchell LLC","Company"
"901b8426-caae-4cac-a8e4-d4092521426b","Brooks-Edwards","Company"
"9d126db4-1a2f-4ae9-a0d7-1f6ac5c6a033","Snyder and Sons","Company"
"3319cac7-09f0-494f-a70a-15fe424b83fd","Anderson, Jensen and Marquez","Company"
"1b8d764b-c28f-48e6-bcb0-2b0ee48aa913","Kelly-Bryant","Company"
"a7b394ca-681f-4147-93f5-5ec3c4ca05bc","Green-Garcia","Company"
"9f087cd2-881f-45ea-892b-4d313a6c4443","Freeman Ltd","Company"
"9b7c0078-4f80-4930-8792-f47520a2a7ac","Smith Group","Company"
"b3cae08f-af3d-45c4-aa18-c210932ddd64","Mills-Cruz","Company"
"ae9f9c5c-80f9-41a0-a0b3-76b15c399262","Holmes Group","Company"
"9c0b373a-ab55-432f-9fe4-5e65f65ab540","Miller-Thomas","Company"
"7b309fc4-b0a8-4497-a06d-3cfb4caffc71","Ramirez Group","Company"
"211f1670-aea6-4d71-8009-5e22cae28085","Dean Group","Company"
"61bd1f1c-e5de-483b-a15a-1c0c92fa791b","Joseph, Roberts and Jones","Company"
"08c8ac49-14cc-4230-8148-489b6cccb739","Jenkins PLC","Company"
"618cc02d-6efc-4308-bf1e-1bfd9bec4aa9","Perez and Sons","Company"
